model,text_id,run,strategy,output,seconds,prompt_tokens,completion_tokens,timestamp
llama3.2:3b,text1,1,few-shot,"Here is a summary of the text in 4 sentences:

Autonomous vehicles (AVs) are advancing towards commercial deployment, but cost remains a major obstacle. The high cost of self-driving sensor suites, particularly LiDAR, can add tens of thousands of dollars to a vehicle's price. However, industry analysts expect LiDAR costs to continue falling, and companies like Waymo and Tesla are working to scale production and reduce costs. Despite the technical and financial challenges, experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, pending regulatory approval and public trust.",15.92,462,126,2026-09-18T21:39:55.397169
llama3.2:3b,text1,2,few-shot,"Here is a summary of the text in 3-5 sentences:

Autonomous vehicles (AVs) are advancing towards commercial deployment, but cost remains a major obstacle. The high cost of sensor suites, particularly LiDAR, can add tens of thousands of dollars to a vehicle's price, although prices are expected to decrease as production scales. AV developers face significant costs in training and validating AI models, requiring millions of simulated and real-world driving miles. Despite these challenges, researchers are working to improve edge-case handling and develop standardized safety validation frameworks, with some experts predicting that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s.",8.45,462,136,2026-09-18T21:40:03.851068
llama3.2:3b,text1,3,few-shot,"Here is a summary of the text in 3-5 sentences:

Autonomous vehicles (AVs) are advancing towards commercial deployment, but high costs remain a major obstacle. The cost of AV systems can be prohibitively expensive, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Despite declining LiDAR costs, significant investments are needed in training and validating AI models, as well as improving edge-case handling and safety validation frameworks. Industry experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval, public trust, and technical challenges must be addressed first.",8.96,462,137,2026-09-18T21:40:12.808504
llama3.2:3b,text1,4,few-shot,"Here is a summary of the text in 3-5 sentences:

Autonomous vehicles (AVs) are advancing toward commercial deployment, but cost remains a significant obstacle. The high cost of self-driving sensor suites, ranging from $10,000 to $100,000, is a major barrier to widespread adoption. However, as production scales, industry analysts expect LiDAR costs to continue falling, and researchers are working to improve AI models and develop standardized safety frameworks. While some experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, regulatory approval, public trust, and technical hurdles remain major challenges.",8.58,462,133,2026-09-18T21:40:21.392018
llama3.2:3b,text1,5,few-shot,"Here is a 3-5 sentence summary:

Autonomous vehicles (AVs) are advancing toward commercial deployment, but cost remains a significant barrier. The high cost of advanced sensor suites, AI model training, and validation is a major hurdle, with prices ranging from $10,000 to $100,000. Despite falling LiDAR costs, companies are taking different approaches to reduce costs and scale their deployment. As production increases, researchers are focusing on improving edge-case handling and developing standardized safety validation frameworks. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval and public trust remain major challenges.",8.72,462,136,2026-09-18T21:40:30.117116
llama3.2:3b,text1,6,few-shot,"Here is a summary of the text in 3-5 sentences:

Autonomous vehicles (AVs) are progressing toward commercial deployment, but cost remains a significant barrier. The high cost of self-driving sensor suites, ranging from $10,000 to $100,000, is a major obstacle to widespread adoption. Despite falling LiDAR costs, industry analysts expect prices to drop further as production scales. However, significant challenges remain, including training and validating AI models, improving edge-case handling, and gaining regulatory approval and public trust. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but technical, financial, and regulatory hurdles must be overcome.",9.17,462,143,2026-09-18T21:40:39.290970
llama3.2:3b,text1,7,few-shot,"Here is a summary of the text in 3-5 sentences:

Autonomous vehicles (AVs) are gaining momentum, but cost remains a significant barrier to widespread adoption. The high cost of self-driving sensor suites, particularly LiDAR, can add tens of thousands of dollars to a vehicle's price. Industry analysts expect LiDAR costs to continue falling, while AV developers face significant expenses in training and validating AI models. Despite these challenges, researchers are working to improve AV technology, including edge-case handling and standardized safety validation frameworks, with some experts predicting that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s.",8.47,462,134,2026-09-18T21:40:47.764774
llama3.2:3b,text1,8,few-shot,"Here is a summary of the text in 3-5 sentences:

Autonomous vehicles (AVs) are advancing toward commercial deployment, but cost remains a significant barrier. The high cost of advanced sensors, such as LiDAR and cameras, can add tens of thousands of dollars to a vehicle's price, making widespread adoption challenging. Despite falling LiDAR costs, training and validating AI models for AVs requires significant investment. Industry experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval, public trust, and technical hurdles need to be addressed.",7.98,462,126,2026-09-18T21:40:55.745182
llama3.2:3b,text1,9,few-shot,"Here is a 3-5 sentence summary:

Autonomous vehicles (AVs) are advancing towards commercial deployment, but cost remains a significant obstacle. The high cost of self-driving sensor suites, particularly LiDAR, poses a major barrier to widespread adoption. However, industry analysts predict that cost reductions, driven by economies of scale and advancements in technology, could make AVs more competitive with human-driven cars by the early 2030s. Despite this progress, regulatory approval, public trust, and technical challenges, such as improving edge-case handling and safety validation, must still be addressed.",7.45,462,119,2026-09-18T21:41:03.200604
llama3.2:3b,text1,10,few-shot,"Here is a summary of the text in 3-5 sentences:

Autonomous vehicles (AVs) are advancing toward commercial deployment, but cost remains a significant barrier to widespread adoption. The high cost of LiDAR, a critical sensor suite for AVs, can add $10,000 to $100,000 to a vehicle's price, depending on the level of autonomy. Despite declining LiDAR costs, significant investments are still needed for training and validating AI models, which require millions of simulated and real-world driving miles. Regulatory approval and public trust remain major hurdles, but some experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s.",8.83,462,142,2026-09-18T21:41:12.029856
llama3.2:3b,text1,1,chain-of-thought,"Here's a concise summary of the text:

The commercial deployment of autonomous vehicles (AVs) is progressing, but cost remains a significant barrier. The development of AVs requires substantial investments in hardware, including sensors like LiDAR and cameras, which can add tens of thousands of dollars to a vehicle's price. To scale, companies are relying on cost-effective solutions, such as machine learning, and reducing LiDAR costs. However, significant challenges remain, including training and validating AI models, addressing edge cases, and gaining regulatory approval and public trust. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s.

I considered the following key points when writing the summary:

* The cost of AVs is a major barrier to widespread adoption
* Companies are taking different approaches to reduce costs and scale
* Significant investments are needed in hardware and AI model development
* Challenges remain, including regulatory approval and public trust
* Experts predict a potential cost",16.93,357,200,2026-09-18T21:41:28.964801
llama3.2:3b,text1,2,chain-of-thought,"Main topic and key concepts:
The main topic is the challenges and advancements in autonomous vehicle (AV) technology, specifically focusing on cost and regulatory hurdles.

Most important facts and ideas:
* The cost of AV systems is a significant barrier to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price.
* Industry analysts estimate that LiDAR costs have fallen by over 80% since 2015 and are expected to continue falling.
* AV developers face significant costs in training and validating AI models, requiring millions of simulated and real-world driving miles.
* Researchers are focusing on improving edge-case handling and developing standardized safety validation frameworks.
* Regulatory approval and public trust remain significant hurdles to the widespread adoption of fully autonomous vehicles.

What a reader absolutely needs to know:
The key takeaway is that while AV technology is advancing, cost remains a major barrier to widespread adoption, and significant hurdles need to be overcome before fully autonomous vehicles can become cost-competitive with",12.40,357,200,2026-09-18T21:41:41.361874
llama3.2:3b,text1,3,chain-of-thought,"Here's a concise summary of the text:

The deployment of autonomous vehicles (AVs) is advancing, but cost remains a major obstacle to widespread adoption. The high cost of AV sensor suites and AI model training is a significant barrier. While costs are decreasing, with LiDAR prices falling by over 80% since 2015, regulatory approval, public trust, and technical hurdles still need to be addressed. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but significant progress is needed to overcome the technical, financial, and regulatory challenges.

I've identified the main topic as the challenges of deploying autonomous vehicles, and the key concepts include the cost of AV sensor suites, AI model training, and regulatory approval. The most important facts and ideas include the decreasing cost of LiDAR technology and the focus on improving edge-case handling and developing standardized safety validation frameworks. The summary captures the essence of the text by highlighting the key challenges and",12.19,357,200,2026-09-18T21:41:53.556347
llama3.2:3b,text1,4,chain-of-thought,"Here is a concise summary of the text:

The development and deployment of autonomous vehicles (AVs) are progressing, but cost remains a significant barrier to widespread adoption. The cost of a self-driving sensor suite can range from $10,000 to $100,000, depending on the level of autonomy. To reduce costs, industry leaders like Waymo and Tesla are adopting different approaches, with Waymo focusing on high-reliability LiDAR systems and Tesla using camera-based systems paired with machine learning. As production scales, costs are expected to fall, with some experts predicting that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, although regulatory approval and public trust remain significant hurdles.

I considered the following key points when writing the summary:

* The main topic is the cost barrier to widespread adoption of autonomous vehicles
* The most important facts and ideas include the high cost of self-driving sensor suites and the different approaches being taken by industry leaders
* The",12.36,357,200,2026-09-18T21:42:05.919419
llama3.2:3b,text1,5,chain-of-thought,"After analyzing the text, I've identified the main topic and key concepts as follows:

* Main topic: Autonomous vehicles (AVs) and their challenges, particularly cost
* Key concepts:
 + Cost as a barrier to widespread adoption
 + Different approaches by companies like Waymo and Tesla
 + Advancements in LiDAR technology and AI model training costs
 + Challenges in edge-case handling and safety validation

Now, considering what a reader absolutely needs to know, I've identified the most important facts and ideas:

* AVs face a significant cost barrier, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price
* Companies are taking different approaches to overcome this cost, with Waymo relying on LiDAR-heavy systems and Tesla using camera-based systems with machine learning
* Industry analysts predict that LiDAR costs will continue to fall, and AV developers are focusing on improving edge-case handling and developing standardized safety validation frameworks

Here is a concise ",12.03,357,200,2026-09-18T21:42:17.947160
llama3.2:3b,text1,6,chain-of-thought,"Here's a concise summary of the text:

The development and deployment of autonomous vehicles (AVs) are advancing, but cost remains a major obstacle to widespread adoption. The high cost of self-driving sensor suites, particularly LiDAR, is a significant barrier, with prices ranging from $10,000 to $100,000. However, industry analysts expect LiDAR costs to continue falling, and researchers are focusing on improving edge-case handling and developing standardized safety validation frameworks. Despite these advancements, regulatory approval and public trust remain significant hurdles, with experts predicting that fully autonomous vehicles may become cost-competitive with human-driven cars by the early 2030s.",8.10,357,133,2026-09-18T21:42:26.045136
llama3.2:3b,text1,7,chain-of-thought,"Here's a concise summary of the text:

The commercial deployment of autonomous vehicles (AVs) is being hindered by the high cost of development, particularly in the cost of self-driving sensors and AI model training. The cost of LiDAR sensors, a crucial component of AV systems, has decreased by over 80% since 2015, and further price drops are expected. However, training and validating AI models requires millions of simulated and real-world driving miles, adding to the costs. Despite these challenges, researchers are working to improve edge-case handling and develop standardized safety validation frameworks, with some experts predicting that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s.",10.52,357,144,2026-09-18T21:42:36.570420
llama3.2:3b,text1,8,chain-of-thought,"Here is a concise summary of the text:

The development and deployment of autonomous vehicles (AVs) are hindered by significant costs, particularly the high price of self-driving sensor suites, which can add $10,000 to $100,000 to a vehicle's price. Companies like Waymo and Tesla are taking different approaches to address these costs, with Waymo relying on expensive LiDAR-heavy systems and Tesla using cheaper camera-based systems with machine learning. Despite progress in reducing LiDAR costs, AV developers face high costs in training and validating AI models, and regulatory approval and public trust remain significant hurdles to widespread adoption. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but significant technical, financial, and regulatory challenges need to be overcome.",9.97,357,164,2026-09-18T21:42:46.541341
llama3.2:3b,text1,9,chain-of-thought,"Here's a concise summary of the text:

The development and commercial deployment of autonomous vehicles (AVs) are hindered by high costs, with a single sensor suite costing between $10,000 and $100,000. Companies like Waymo and Tesla have taken different approaches to reducing costs, with Waymo relying on expensive LiDAR systems and Tesla using camera-based systems paired with machine learning. Despite falling LiDAR costs, AV developers face significant expenses in training and validating AI models, with the goal of improving edge-case handling and developing standardized safety validation frameworks. While some experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, regulatory approval and public trust remain significant hurdles.

Key points considered:

* High costs are a major barrier to widespread adoption of AVs
* Different approaches by companies like Waymo and Tesla to reduce costs
* Falling LiDAR costs and the challenge of training and validating AI models
* Focus on improving",12.14,357,200,2026-09-18T21:42:58.679903
llama3.2:3b,text1,10,chain-of-thought,"Here's a concise summary of the text:

The development and deployment of autonomous vehicles (AVs) are advancing, but cost remains a significant barrier to widespread adoption. The high cost of advanced sensors and AI model training is a major challenge, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. However, industry analysts expect LiDAR costs to continue falling, and researchers are focusing on improving edge-case handling and developing standardized safety validation frameworks. While some experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, regulatory approval, public trust, and technical hurdles must be overcome.

I've identified the main topic as the challenges and progress in autonomous vehicle development, key concepts include the high cost of advanced sensors and AI model training, and the ongoing efforts to improve edge-case handling and develop standardized safety validation frameworks. The most important facts and ideas include the significant cost barriers, the expected decline in LiD",12.38,357,200,2026-09-18T21:43:11.059881
llama3.2:3b,text1_template,1,zero-shot,"Here is a summary of the text in 3-5 sentences:

The cost of autonomous vehicles (AVs) remains a major barrier to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Industry analysts estimate that LiDAR costs have fallen by over 80% since 2015, and further price drops are expected as production scales. However, training and validating AI models requires significant investment, with millions of simulated and real-world driving miles. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval and public trust remain significant hurdles.",9.10,280,137,2026-09-18T21:43:20.162211
llama3.2:3b,text1_template,2,zero-shot,"Here is a summary of the article in 4 sentences:

The cost of autonomous vehicles (AVs) remains a major barrier to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Companies like Waymo and Tesla are taking different approaches to reducing costs, with Waymo focusing on high-reliability LiDAR systems and Tesla using camera-based systems paired with machine learning. Industry analysts expect LiDAR costs to continue falling as production scales, but significant costs remain for training and validating AI models. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval and public trust remain major hurdles.",13.31,280,147,2026-09-18T21:43:33.470685
llama3.2:3b,text1_template,3,zero-shot,"Here is a summary of the text in 3-5 sentences:

The cost of autonomous vehicles (AVs) is a major barrier to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Companies like Waymo and Tesla are taking different approaches to reduce costs, with Waymo relying on expensive LiDAR systems and Tesla using cheaper camera-based systems paired with machine learning. Industry analysts predict that LiDAR costs will continue to fall, and AV developers are working to improve edge-case handling and develop standardized safety validation frameworks. Experts estimate that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval and public trust remain significant hurdles.",12.05,280,152,2026-09-18T21:43:45.517726
llama3.2:3b,text1_template,4,zero-shot,"Here is a summary of the article in 4 sentences:

Autonomous vehicles (AVs) are moving towards commercial deployment, but cost remains a major barrier to widespread adoption. The cost of a single self-driving sensor suite can range from $10,000 to $100,000, depending on the level of autonomy. Companies like Waymo and Tesla are taking different approaches to reduce costs, with Waymo using expensive LiDAR systems and Tesla using cheaper camera-based systems paired with machine learning. Industry experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval, public trust, and technical advancements remain significant hurdles.",9.81,280,138,2026-09-18T21:43:55.330083
llama3.2:3b,text1_template,5,zero-shot,"Here is a summary of the text in 3-5 sentences:

The cost of autonomous vehicles (AVs) remains a significant barrier to widespread adoption, with a single self-driving sensor suite adding $10,000 to $100,000 to a vehicle's price. Companies like Waymo and Tesla are taking different approaches to reduce costs, with Waymo focusing on expensive LiDAR systems and Tesla using cheaper camera-based systems with machine learning. Despite decreasing hardware costs, the costs of training and validating AI models are still high, requiring millions of simulated and real-world driving miles. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval and public trust remain significant hurdles.",10.59,280,150,2026-09-18T21:44:05.920424
llama3.2:3b,text1_template,6,zero-shot,"Here is a summary of the article in 4 sentences:

The cost of autonomous vehicles (AVs) remains a major barrier to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Companies like Waymo and Tesla are taking different approaches to reduce costs, with Waymo focusing on high-reliability LiDAR systems and Tesla using camera-based systems paired with machine learning. Despite significant cost reductions in LiDAR technology, training and validating AI models remains a major challenge, requiring millions of simulated and real-world driving miles. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval, public trust, and technical challenges still need to be addressed.",11.78,280,158,2026-09-18T21:44:17.700929
llama3.2:3b,text1_template,7,zero-shot,"Here is a summary of the article in 4 sentences:

The cost of autonomous vehicles (AVs) remains a major obstacle to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Companies like Waymo and Tesla have taken different approaches to address this cost, with Waymo relying on expensive LiDAR systems and Tesla using cheaper camera-based systems. Industry analysts expect LiDAR costs to continue falling as production scales, and researchers are working to improve edge-case handling and develop standardized safety validation frameworks. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval, public trust, and technical hurdles must be overcome.",10.07,280,151,2026-09-18T21:44:27.776538
llama3.2:3b,text1_template,8,zero-shot,"Here is a summary of the text in 3-5 sentences:

The cost of autonomous vehicles (AVs) remains a major barrier to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Companies like Waymo and Tesla are taking different approaches to reduce costs, with Waymo focusing on high-reliability LiDAR systems and Tesla using camera-based systems paired with machine learning. Despite falling LiDAR costs, AV developers face significant expenses in training and validating AI models, and researchers are focusing on improving edge-case handling and developing standardized safety validation frameworks. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval and public trust are still major hurdles.",10.19,280,160,2026-09-18T21:44:37.971006
llama3.2:3b,text1_template,9,zero-shot,"Here is a summary of the article in 4 sentences:

As autonomous vehicles (AVs) move towards commercial deployment, cost remains a significant barrier to widespread adoption. The cost of self-driving sensor suites and AI model training can add tens of thousands of dollars to a vehicle's price. Industry analysts expect LiDAR costs to continue falling, but significant hurdles remain, including regulatory approval, public trust, and improving edge-case handling. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but this timeline is uncertain and depends on overcoming these challenges.",9.02,280,122,2026-09-18T21:44:46.988068
llama3.2:3b,text1_template,10,zero-shot,"Here is a summary of the text in 3-5 sentences:

Autonomous vehicles (AVs) are moving towards commercial deployment, but cost remains a major obstacle. The cost of a single sensor suite, which combines LiDAR, radar, and high-resolution cameras, can range from $10,000 to $100,000, depending on the level of autonomy. However, industry analysts predict that LiDAR costs will continue to fall as production scales, and AV developers are working to improve edge-case handling and develop standardized safety validation frameworks. Experts estimate that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval and public trust remain significant hurdles.",10.47,280,144,2026-09-18T21:44:57.455575
llama3.2:3b,text1_template,1,few-shot,"Here is a 3-5 sentence summary:

Autonomous vehicles (AVs) are transitioning from experimentation to commercial deployment, but cost remains a significant barrier. The high cost of self-driving sensors, ranging from $10,000 to $100,000, can make AVs expensive. Companies like Waymo and Tesla are exploring different approaches to reduce costs, while industry analysts expect further price drops as production scales. Despite the challenges, researchers are making progress in improving edge-case handling and developing standardized safety validation frameworks, with some experts predicting that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s.",8.63,462,129,2026-09-18T21:45:06.089603
llama3.2:3b,text1_template,2,few-shot,"Here is a summary of the text in 3-5 sentences:

Autonomous vehicles are progressing toward commercial deployment, but cost remains a major obstacle. The high cost of self-driving sensor suites, particularly LiDAR, is a significant barrier to widespread adoption. However, industry analysts expect LiDAR costs to continue falling, and companies are exploring alternative approaches, such as camera-based systems paired with machine learning. Training and validating AI models also poses significant costs, but researchers are focusing on improving edge-case handling and developing standardized safety validation frameworks. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval and public trust are significant hurdles to overcome.",9.31,462,144,2026-09-18T21:45:15.397207
llama3.2:3b,text1_template,3,few-shot,"Here is a summary of the text in 3-5 sentences:

Autonomous vehicles (AVs) are advancing toward commercial deployment, but high costs remain a major obstacle. The cost of self-driving sensor suites, which can add tens of thousands of dollars to a vehicle's price, is a significant barrier to widespread adoption. Despite falling LiDAR costs, AV developers face steep costs in training and validating AI models, requiring millions of simulated and real-world driving miles. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval, public trust, and technical challenges remain significant hurdles.",9.35,462,132,2026-09-18T21:45:24.745150
llama3.2:3b,text1_template,4,few-shot,"Here is a summary of the text in 3-5 sentences:

Autonomous vehicles (AVs) are advancing toward commercial deployment, but cost remains a major obstacle. The high cost of self-driving sensor suites, which can range from $10,000 to $100,000, is a significant barrier to widespread adoption. Despite this, industry analysts expect LiDAR costs to continue falling, and researchers are working on improving edge-case handling and developing standardized safety validation frameworks. Some experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval and public trust remain significant hurdles.",8.75,462,130,2026-09-18T21:45:33.499646
llama3.2:3b,text1_template,5,few-shot,"Here is a 4-sentence summary:

Autonomous vehicles are advancing toward commercial deployment, but cost remains a significant obstacle. The cost of self-driving sensor suites can range from $10,000 to $100,000, depending on the level of autonomy, and LiDAR costs have fallen by over 80% since 2015. To scale, companies like Tesla are adopting camera-based systems paired with machine learning, while Waymo relies on expensive LiDAR-heavy systems. Industry analysts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval, public trust, and technical challenges must be addressed.",9.75,462,136,2026-09-18T21:45:43.248188
llama3.2:3b,text1_template,6,few-shot,"Here is a summary of the text in 4 sentences:

Autonomous vehicles (AVs) are advancing towards commercial deployment, but cost remains a major obstacle to widespread adoption. The high cost of self-driving sensor suites, particularly LiDAR technology, is a significant barrier, with prices ranging from $10,000 to $100,000. However, industry analysts expect LiDAR costs to continue falling as production scales, and researchers are focusing on improving edge-case handling and developing standardized safety validation frameworks. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval, public trust, and technical hurdles must still be addressed.",11.01,462,140,2026-09-18T21:45:54.255572
